#,座標ではなく、マップの何行何列目か指定,,,,,
#,左端X列,左端Y行,右端X列,右端Y行,X方向の移動量,Y方向の移動量
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
#,左端X座標,左端Y座標,,,,
Block,5,5,,,,
,,,,,,
,,,,,,
,,,,,,
#,左端X座標,左端Y座標,ID,オブジェクト名,,
Button,25,8,1,RedButton,,
Door,25,13,3,RedBlock,,
Door,25,12,3,RedBlock,,
Door,25,11,3,RedBlock,,
Door,25,10,3,RedBlock,,
Button,32,13,2,BlueButton,,
Door,26,7,4,BlueBlock,,
Door,26,6,4,BlueBlock,,
Door,26,5,4,BlueBlock,,
Door,26,4,4,BlueBlock,,
Door,26,3,4,BlueBlock,,
Door,26,2,4,BlueBlock,,
